"Speaker Name","Start Time","End Time","Text"
"James","00:00:09:04","00:00:27:04","So far, the Marvel Cinematic Universe has been broken up into phases. Phase One was the creation of the Avengers. Phase Two has been the aftermath and some further world building and will culminate with the Avengers 2: Age of Ultron. Phase Three will likely end with the Avengers 3: Infinity. Yes, I'm calling it now, the third Avengers movie will be subtitled “Infinity.”"
"James","00:00:27:10","00:00:46:08","Or at least have the word infinity in the title somewhere. Anyway, we're all pretty sure, or at least I think I am, about how Phase Two will turn out. Captain America: The Winter Soldier will introduce the concept of Ultron, if not the character, which will probably be a S.H.I.E.L.D. initiative. Since Joss Whedon has stated that Hank Pym will not be the creator of the psychotic android."
"James","00:00:46:21","00:01:05:23","So it's either going to be a S.H.I.E.L.D. program gone horribly wrong or a creation of Tony's gone wrong. But I'm not sure that Whedon is going to basically make Avengers 2 that centered on Tony Stark. So I'm sticking with the S.H.I.E.L.D. theory, for now anyway. Guardians of the Galaxy will then play more toward the introduction of Thanos, that big purple guy from the mid-credits scene in The Avengers."
"James","00:01:06:14","00:01:31:15","He will also likely find one or two more of the Infinity Gems, which are being called Infinity Stones in the Cinematic Universe. These stones play a huge part in the Thanos storyline. Then, we have Age of Ultron, which, aside from having a psychotic killer robot as the main villain — he's a lot cooler than he sounds, trust me — will also include the characters of Wanda and Pietro Maximoff, also known as The Scarlet Witch and Quicksilver."
"James","00:01:32:09","00:01:56:20","There's been a lot of drama about these two being used by Marvel because they're technically mutants and the children of X-Men villain Magneto. So they should be within the X-Men franchise, which is owned by Fox. But that's a whole other can of worms, and I'm not going to try and explain that here. These two characters have the potential to be very interesting additions, and I have a feeling that the Scarlet Witch is going to play a massive part in the future of the Marvel Cinematic Universe."
"James","00:01:57:07","00:02:16:18","But more on that later. If Ultron ends up being a S.H.I.E.L.D. initiative, there will likely be some disruption between S.H.I.E.L.D. and the Avengers, like a total split between the two groups. The amount of destruction that Ultron can cause will also leave the Avengers in a pretty rough state, with at least one of their founding members being killed. It is Joss Whedon, after all."
"James","00:02:17:09","00:02:35:07","So they probably wouldn't be in the best of shape once Thanos comes knocking in Avengers 3. Just two months after the Avengers two comes out, we enter Phase Three with the introduction of Ant-Man, a character far more interesting than his name may lead you to believe. But there hasn't been a whole lot of other news about who else will pop up in Phase Three."
"James","00:02:36:01","00:02:55:01","Well, my first prediction is that Doctor Strange will find his way onto the silver screen. Likely with the Scarlet Witch playing a supporting role in the movie, it will introduce magic to the Marvel Cinematic Universe and allow for some character development with the Scarlet Witch away from her overprotective brother. Phase Three will also likely see another Thor or Captain America movie."
"James","00:02:55:02","00:03:13:09","My guess would be Thor, since he sort of deals in the cosmic side of things, which is where Thanos would be coming from. Phase Three would also have a heavy focus on those Infinity Stones. My guess is that the colors traditionally used to represent the Infinity Gems in the comics likely won't be used here, but all six stones will likely be included."
"James","00:03:14:01","00:03:37:11","Those six represent soul time, space, mind, reality and power. If you have all six, you can pretty much do anything you want, which is why Thanos wants them. See, he's literally in love with the Marvel Universe’s version of the Grim Reaper, and basically wants to kill the entire universe so that she’ll love him back. He's got some issues, but don't we all?"
"James","00:03:37:21","00:03:53:12","So by the time Avengers 3 rolls around, we would have five of the six Stones accounted for, except for the Reality Stone. Thanos comes to Earth and all hell breaks loose as he tries to find that last stone and the Avengers try to stop him. Obviously. But where is the stone? It would be on Earth, but where is it?"
"James","00:03:53:13","00:04:14:02","Well, I think it's intrinsically linked with the Scarlet Witch. The reality stone gives you the power to alter reality, even if it conflicts with the laws of science. And that basically explains the Scarlet Witch's powers. So Thanos would end up causing some serious physical and mental damage to her in the process of getting the stone. Is the stone inside her?"
"James","00:04:14:11","00:04:37:16","If she is simply a conduit for it? Who knows? But, I see this type of thing happening. Of course, Thanos would be beaten with probably even more Avengers being killed off in the process. My guess is that the only original Avengers left alive at the end of the third film will be Captain America and Iron Man. Now, Phase Four is some tricky territory, because we really have no idea where Marvel could go. Throughout Phase Four,"
"James","00:04:37:17","00:05:00:08","we would see the Scarlet Witch trying to deal with the trauma she went through during the Thanos attack and mostly being ignored by her fellow Avengers. Why? They're very busy fighting a public backlash. The public believing that Thanos would never have come to Earth had the Avengers not drawn his attention. Tony thinks that the Avengers and S.H.I.E.L.D. should become partners once again, making them publicly accountable and essentially turning the Avengers into a government agency."
"James","00:05:00:14","00:05:19:02","While Captain America wholeheartedly disagrees and believes that the Avengers need their autonomy. He's seen how corrupt the government can be and he wants nothing to do with it. This major plot thread would run throughout the Phase Four movies a little bit at a time, and this would also be when the third Captain America movie would take place, which would really highlight the schism between the Captain and Tony."
"James","00:05:19:14","00:05:42:08","It would also come to a head when the Avengers team is literally split in half and at war with each other. Scarlet Witch suffers a complete mental breakdown from the combo of her already existing stress and the new stress piled on by this war between her friends. The breakdown causes her to inflict harm on both sides. The Avengers Civil War killing some and eventually causing the team to unite against her."
"James","00:05:43:05","00:06:05:14","They would then voluntarily disband under the reasoning that The Avengers may have possibly caused more harm than good. Now, this is just my Phase Four theory. It would draw heavily from three existing Marvel storylines, those being Civil War, Avengers Disassembled, with a hint of House of M mixed in there. Although that could never really be fully fleshed out because the Marvel characters are split up between so many different film studios."
